Command,Alias,Description,Keywords,Category,Url
azsqlep,,SQL elastic pools,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Sql%2Fservers%2Felasticpools
azsqlmi,sqlmi,SQL managed instance,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Sql%2FmanagedInstances
azcost,,Cost Management + Billing,,Azure,https://portal.azure.com/#view/Microsoft_Azure_GTM/ModernBillingMenuBlade/~/BillingAccounts
azcarbon,azsustainability,Carbon optimization - Emission Trends,,Azure,https://portal.azure.com/#view/HubsExtension/AssetMenuBlade/~/EmissionTrendsId/assetName/Sustainability/extensionName/Microsoft_Azure_Sustainability
azlb,lb,Load balancing,,Azure,https://portal.azure.com/#view/Microsoft_Azure_Network/LoadBalancingHubMenuBlade/~/overview
azsa,storage,Storage accounts,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Storage%2FStorageAccounts
azdisks,,Disks,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Compute%2Fdisks
azvn,vnet,Virtual networks,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Network%2FvirtualNetworks
azdefender,azdef,Microsoft Defender for Cloud,,Azure,https://portal.azure.com/#view/Microsoft_Azure_Security/SecurityMenuBlade/~/0
azadf,,Data factories,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.DataFactory%2FdataFactories
azhelp,,Help + support,,Azure,https://portal.azure.com/#view/Microsoft_Azure_Support/HelpAndSupportBlade/~/overview
azsubs,,Subscriptions,,Azure,https://portal.azure.com/#view/Microsoft_Azure_Billing/SubscriptionsBlade?
azrg,,Resource groups,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResourceGroups?
aznsg,,Network security groups,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Network%2FNetworkSecurityGroups
azkv,kv,Key Vault,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.KeyVault%2Fvaults
azkusto,adx,Data Explorer,,Azure,https://dataexplorer.azure.com/
azvm,,Virtual machines,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Compute%2FVirtualMachines
azaks,,Kubernetes services,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.ContainerService%2FmanagedClusters
azredis,,Azure Cache for Redis,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Cache%2FRedis
azservicebus,bus,Service Bus,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.ServiceBus%2Fnamespaces
azappgw,appgw|gateway,Application Gateway,,Azure,https://portal.azure.com/#view/Microsoft_Azure_Network/LoadBalancingHubMenuBlade/~/applicationgateways
azwaf,waf,Web Application Firewall policies,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Network%2FFrontDoorWebApplicationFirewallPolicies
azhybridcompute,,Servers - Azure Arc,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.HybridCompute%2Fmachines
azssh,,SSH Keys,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Compute%2FsshPublicKeys
azdcr,,Data Collection Rules,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Insights%2FdataCollectionRules
azacr,,Container Registries,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.ContainerRegistry%2Fregistries
azcontainer,,Container Instances,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.ContainerInstance%2FcontainerGroups
azpolicy,,Azure Policy,,Azure,https://portal.azure.com/#view/Microsoft_Azure_Policy/PolicyMenuBlade/~/overview
azshell,shell,Azure Cloud Shell,,Azure,https://portal.azure.com/#cloudshell/
eninvite,adinvite,Azure B2B Invitations,b2b,Entra,https://entra.microsoft.com/#view/Microsoft_AAD_IAM/UserCreateBlade/initialMode~/1/b2cEnabled~/false
enelm,adelm,Azure AD Entitlement Management,elm,Entra,https://entra.microsoft.com/#view/Microsoft_AAD_ERM/DashboardBlade/~/elmEntitlement
azfwmg,,Azure Firewall Manager,,Azure,https://portal.azure.com/#view/Microsoft_Azure_HybridNetworking/FirewallManagerMenuBlade
azpip,,Public IP Addresses,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Network%2FPublicIpAddresses
azmg,,Azure Management Groups,,Azure,https://portal.azure.com/#view/Microsoft_Azure_ManagementGroups/ManagementGroupBrowseBlade?
azumc,,Azure Update Management Center,,Azure,https://portal.azure.com/#view/Microsoft_Azure_Automation/UpdateCenterMenuBlade/~/overview?
azbackup,,Backup Center,,Azure,https://portal.azure.com/#view/Microsoft_Azure_DataProtection/BackupCenterMenuBlade/~/overview
azrm,,Azure Resource Manager Blade,,Azure,https://portal.azure.com/#view/Microsoft_Azure_Resources/ResourceManagerBlade/~/overview
synapse,,Azure Synapse Studio,,Azure,https://web.azuresynapse.net/
avs,,Azure VMware Solution,,Azure,https://portal.azure.com/#browse/Microsoft.AVS%2FprivateClouds
partner,,Microsoft Partner Center,,General,https://partner.microsoft.com/dashboard
powerapps,make|mpa|papp,PowerApps,,Microsoft 365,https://make.powerapps.com/
myvs,,Visual Studio Subscriptions,,My Pages,https://my.visualstudio.com/
training,,Training,,General,https://learn.microsoft.com/training/
docs,,Technical documentation,,General,https://learn.microsoft.com/docs/
vlsc,,Volume Licensing Service Center,,General,https://admin.microsoft.com/adminportal/home?#/subscriptions/vlnew
lcs,,Microsoft Dynamics Lifecycle Services,,Microsoft 365,https://lcs.dynamics.com/v2
deqre,deq,Quarantined Emails,,Defender,https://security.microsoft.com/quarantine
azapim,,API Management services,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.ApiManagement%2Fservice?
azfdcdn,,Azure Front Door and CDN profiles,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/microsoft.cdn%2Fprofiles?
azmi,,Azure Managed Identities,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.ManagedIdentity%2FuserAssignedIdentities?
azhealth,,Azure Service Health,,Azure,https://portal.azure.com/#view/Microsoft_Azure_Health/ServiceIssuesBlade?
azcreate,,Azure - Create a Resource,,Azure,https://portal.azure.com/#create/hub?
aznwatch,netwatch,Network Watcher,,Azure,https://portal.azure.com/#view/Microsoft_Azure_Network/NetworkWatcherMenuBlade/~/overview?
azadvisor,,Azure Advisor,,Azure,https://portal.azure.com/#view/Microsoft_Azure_Expert/AdvisorMenuBlade/~/score?
azvmas,,Availability Sets,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Compute%2FavailabilitySets?
azvmss,,Scale Sets,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResourceBlade/resourceType/Microsoft.Compute%2FvirtualMachineScaleSets?
azml,,Azure Machine Learning Studio,,Azure,https://ml.azure.com/
detallow,,Defender Tenant Allow/Block List,,Defender,https://security.microsoft.com/tenantAllowBlockList
azpg,,DB for PostgreSQL servers,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.DBforPostgreSQL%2Fservers?
azpgfs,,DB for PostgreSQL flexible servers,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.DBforPostgreSQL%2FflexibleServers?
azpgh,,DB for PostgreSQL Hyperscale (Citus),,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.DBforPostgreSQL%2FserverGroupsv2?
azpgaa,,PostgreSQL servers - Azure Arc,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.AzureArcData%2FpostgresInstances?
dess,,Microsoft Secure Score,,Defender,https://security.microsoft.com/securescore
azdatabricks,,Azure Databricks,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Databricks%2Fworkspaces?
decacat,,Cloud app catalog,,Defender,https://security.microsoft.com/cloudapps/app-catalog
decaoauth,,Manage OAuth apps,,Defender,https://security.microsoft.com/cloudapps/oauth-apps
dedevices,,Device Inventory,,Defender,https://security.microsoft.com/machines
deusers,deidentities,Identities,,Defender,https://security.microsoft.com/cloudapps/users-and-accounts
teamsweb,,Teams Web Client,,Microsoft 365,https://teams.microsoft.com
teamsrooms,,Teams Rooms Pro Management,,Microsoft 365,https://portal.rooms.microsoft.com/
oct,,Office Customization Tool,,Microsoft 365,https://config.office.com/deploymentsettings
deca,,Microsoft Defender for Cloud Apps,,Defender,https://portal.cloudappsecurity.com/
inprorem,,Proactive Remediations,,Intune,https://intune.microsoft.com/#view/Microsoft_Intune_DeviceSettings/DevicesMenu/~/remediations?#view/Microsoft_Intune_Enrollment/UXAnalyticsMenu/~/proactiveRemediations?=
inwur,,Windows Update Rings,,Intune,https://intune.microsoft.com/#view/Microsoft_Intune_DeviceSettings/DevicesMenu/~/windows10UpdateRings?
azsynapse,,Azure Synapse Analytics,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Synapse%2Fworkspaces?
aztemp,,Templates,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResourceBlade/resourceType/Microsoft.Gallery%2Fmyareas%2Fgalleryitems?
azsd,,Shared dashboards,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Portal%2Fdashboards?
m365apps,,Microsoft 365 Apps admin center,,Microsoft 365,https://config.office.com/officeSettings
enauthstrength,adauthstrength,Authentication strengths,,Entra,https://entra.microsoft.com/#view/Microsoft_AAD_IAM/AuthenticationMethodsMenuBlade/~/AuthStrengths/Microsoft_AAD_IAM/AuthenticationMethodsMenuBlade?
print,upc,Universal Print Console,Azure,Azure,https://portal.azure.com/#view/Universal_Print/MainMenuBlade/~/Printers?#blade/Microsoft_Azure_Security_Insights/WorkspaceSelectorBlade?
dev,devops,Azure DevOps Portal,,Azure,https://dev.azure.com
adf,,Azure Data Factory,,Azure,https://adf.azure.com/
enauthactivity,adauthmethodsactivity|authactivity,Authentication methods activity,,Entra,https://entra.microsoft.com/#view/Microsoft_AAD_IAM/AuthenticationMethodsMenuBlade/~/AuthMethodsActivity/Microsoft_AAD_IAM/AuthenticationMethodsMenuBlade?
azprice,price,Azure Price Calculator,,Azure,https://azure.microsoft.com/pricing/calculator/
enerror,aderror,Login error lookup,,Entra,https://login.microsoftonline.com/error
l,,Login page,,Entra,https://login.microsoftonline.com/
dl,,Device login,,Entra,https://microsoft.com/devicelogin
introubleshoot,,Troubleshooting,,Intune,https://intune.microsoft.com/#view/Microsoft_Intune_DeviceSettings/SupportMenu/~/troubleshooting
forms,frm,Microsoft Forms,,Microsoft 365,https://forms.office.com/
loop,lp,Microsoft Loop,,Microsoft 365,https://loop.microsoft.com/
ppg,,Power Platform GCC,,Microsoft 365,https://gcc.admin.powerplatform.microsoft.us
pappsg,,Power Apps GCC,,Microsoft 365,https://make.gov.powerapps.us/
pag,pflowg,Power Automate GCC,,Microsoft 365,https://make.gov.powerautomate.us/
ppageg,,Power Pages GCC,,Microsoft 365,https://make.gov.powerpages.microsoft.us/
enidp,adidp,Azure AD Identity Protection,,Entra,https://entra.microsoft.com/#view/Microsoft_AAD_IAM/IdentityProtectionMenuBlade/~/Overview
azlogic,,Azure Logic Apps,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Logic%2Fworkflows
azpim,,Azure Resources PIM,,Azure,https://portal.azure.com/#view/Microsoft_Azure_PIMCommon/CommonMenuBlade/~/azurerbac
inwfu,,Feature updates for Windows,,Intune,https://intune.microsoft.com/#view/Microsoft_Intune_DeviceSettings/DevicesMenu/~/featureUpdateDeployments
ppgh,,Power Platform GCC High,,Microsoft 365,https://high.admin.powerplatform.microsoft.us/
ppagegh,,Power Pages GCC High,,Microsoft 365,https://make.high.powerpages.microsoft.us/
pbidod,,Power BI DoD,,Microsoft 365,https://app.mil.powerbigov.us/
ppdod,,Power Platform DoD,,Microsoft 365,https://admin.appsplatform.us/
pappsdod,,PowerApps DoD,,Microsoft 365,https://make.apps.appsplatform.us/
pflowdod,,PowerAutomate DoD,,Microsoft 365,https://flow.appsplatform.us/
aka,,AkaSearch,,General,https://akaSearch.net
lighthouse,,Lighthouse,,Microsoft 365,https://lighthouse.microsoft.com/
enlaps,adlaps,LAPS,LAPS,Entra,https://entra.microsoft.com/#view/Microsoft_AAD_Devices/DevicesMenuBlade/~/LocalAdminPassword/menuId/Overview
inwdu,,Driver updates for Windows 10,,Intune,https://intune.microsoft.com/#view/Microsoft_Intune_DeviceSettings/DevicesMenu/~/windowsDriverUpdate?#view/Microsoft_Intune_DeviceSettings/DevicesMenu/~/windows10UpdateRings?=
azoai,openai,Azure OpenAI Studio,,Azure,https://oai.azure.com/portal
azcs,,Azure Content Safety,,Azure,https://contentsafety.cognitive.azure.com/
win365,cloudpc,Windows 365,Windows 365 Cloud PC,Microsoft 365,https://windows365.microsoft.com/
macvlsc,mackeys,Volume Licensing Keys,,Microsoft 365,https://admin.microsoft.com/Adminportal/Home#/subscriptions/vlnew/downloadsandkeys
mc,,Message Center,,Microsoft 365,https://admin.microsoft.com/#/MessageCenter
azwb,,Azure Workbooks,,Azure,https://portal.azure.com/?feature.msaljs=true#view/HubsExtension/BrowseResource/resourceType/microsoft.insights%2Fworkbooks
azroutes,,Route tables,,Azure,https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Network%2FrouteTables
cdx,,Customer Digital Experiences (Demo),,Microsoft 365,https://cdx.transform.microsoft.com
tenants,tnts,All Tenants,,Microsoft 365,https://admin.microsoft.com/Adminportal/Home?#/tenants
exmt,extrace,Exchange Message Trace,,Microsoft 365,https://admin.cloud.microsoft/exchange#/messagetrace
exrules,exmailflow,Exchange Mail Flow Rules,Exchange Transport Rules,Microsoft 365,https://admin.cloud.microsoft/exchange#/transportrules
deast,,Attack simulation training,,Defender,https://security.microsoft.com/attacksimulator
deastrep,,Attack Simulation Training Reports,,Defender,https://security.microsoft.com/attacksimulationreport
mshealth,,Microsoft 365 Service health,,Microsoft 365,https://admin.microsoft.com/#/servicehealth
cp,,Copilot,,Microsoft 365,https://copilot.microsoft.com
cpd,,Copilot Dashboard,,Microsoft 365,https://insights.cloud.microsoft/#/CopilotDashboard
azdns,,DNS zones,,Azure,https://portal.azure.com/#browse/Microsoft.Network%2FdnsZones
xdrthreathunt,th|threathunt,Threat Hunting,,XDR Sentinel,https://security.microsoft.com/sentinel/hunting
xdranalytics,,Analytic Rules,,XDR Sentinel,https://security.microsoft.com/sentinel/analytics
xdrwatchlist,watchlist,Sentinel Watchlist,,XDR Sentinel,https://security.microsoft.com/sentinel/watchlist
scp,cfs,Copilot for Security,,Defender,https://securitycopilot.microsoft.com
deap,antiphishing|antiphish|phish,Anti-Phishing policies,,Defender,https://security.microsoft.com/antiphishing
dedkim,dkim,DKIM Email Authentication Settings,,Defender,https://security.microsoft.com/dkimv2
inantivirus,insecav,Security - Antivirus,,Intune,https://intune.microsoft.com/?ref=AdminCenter#view/Microsoft_Intune_Workflows/SecurityManagementMenu/~/antivirus
infirewall,insecfw,Security - Firewall,,Intune,https://intune.microsoft.com/?ref=AdminCenter#view/Microsoft_Intune_Workflows/SecurityManagementMenu/~/firewall
inedr,insecedr,Security - Enpoint detection and Response,,Intune,https://intune.microsoft.com/?ref=AdminCenter#view/Microsoft_Intune_Workflows/SecurityManagementMenu/~/edr
inasr,insecasr,Security - ASR,,Intune,https://intune.microsoft.com/?ref=AdminCenter#view/Microsoft_Intune_Workflows/SecurityManagementMenu/~/asr
encloudsync,,Entra Cloud Sync Configuration,,Entra,https://entra.microsoft.com/#view/Microsoft_AAD_Connect_Provisioning/CloudSyncMenuBlade/~/CloudSyncConfigurations
planner,,Planner,,Microsoft 365,https://planner.cloud.microsoft
dereport,,Defender reports,,Defender,https://security.microsoft.com/securityreports
Derepquery,queryresources,Reports - Query resources,Query quota,Defender,https://security.microsoft.com/advanced-hunting/quotareport
desecreport,securityreport,Reports - Security report,,Defender,https://security.microsoft.com/reports
Devulnreport,,Reports - Vulnerable Devices,,Defender,https://security.microsoft.com/mde-reports/vulnerability
deasrreport,asrreport|asrmdereport,Reports - Attack Surface Reduction Rules,Asr,Defender,https://security.microsoft.com/asr
dedevcontrol,Devcontrolreport,Reports - Device Control,,Defender,https://security.microsoft.com/devicecontrol
Dedevhealth,Devicehealth,Reports - Device Health,,Defender,https://security.microsoft.com/devicehealth
defwreport,Firewallreport,Reports - Firewall,,Defender,https://security.microsoft.com/firewall
demonsum,monthlysum,Reports - Monthly security summary ,,Defender,https://security.microsoft.com/value-report
dewebprotect,,Reports - Web Protection,,Defender,https://security.microsoft.com/webprotection
Deemailcoll,,Reports - Email & Collaboration,,Defender,https://security.microsoft.com/emailandcollabreport
Exmailflowrep,mailflowreports,Exchange mail flow reports,,Microsoft 365,https://security.microsoft.com/ExchangeMailFlowReport
Deschedules,,Reports - Email & Collaboration - Manage schedules,,Defender,https://security.microsoft.com/ManageSubscription
Dedwnrep,derepdownload,Reports - Email & Collaboration - Reports for download,,Defender,https://security.microsoft.com/ReportsForDownload
Demcasreports,demcasrep,Cloud Apps - Exported Reports,,Defender,https://security.microsoft.com/cloudapps/exported-reports
Deidrepmgmt,,Identities - Report management,,Defender,https://security.microsoft.com/identities-reports
